# sacct -o JobName%30,NCPUS,Elapsed,ElapsedRaw,AveDiskRead,MaxDiskRead,AveDiskWrite,MaxDiskWrite,AveRSS,MaxRSS -j 23150232
# in_transit_slice_has      32896   02:00:15       7215
opt, JobName, NCPUS, Elapsed, ElapsedRaw, AveDiskRead, MaxDiskRead, AveDiskWrite, MaxDiskWrite, AveRSS, MaxRSS
1, oscillator, 8192, 00:06:54, 414, 0.67M, 2.72M, 584.38M, 2110.35M, 128918212, 141237K
1, ADIOS1EndPoint, 8192, 00:05:52, 352, 597.59M, 2112.16M, 3.46M, 80.64M, 68123240, 123397K
1, oscillator, 8192, 00:07:15, 435, 0.61M, 2.49M, 374.26M, 2110.34M, 278882027, 458694K
1, ADIOS1EndPoint, 4096, 00:06:00, 360, 767.20M, 2112.16M, 6.92M, 80.64M, 69957641, 85663K
1, oscillator, 8192, 00:06:56, 416, 0.61M, 2.79M, 268.63M, 2110.34M, 352825297, 457513K
1, ADIOS1EndPoint, 2048, 00:05:43, 343, 1106.50M, 2112.17M, 13.83M, 80.64M, 72634991, 123865K
1, oscillator, 8192, 00:06:42, 402, 0.66M, 2.51M, 215.95M, 2110.34M, 388810725, 456932K
1, ADIOS1EndPoint, 1024, 00:05:32, 332, 1785.72M, 2111.13M, 27.68M, 80.64M, 107579282, 125636K
1, oscillator, 8192, 00:06:45, 405, 0.63M, 2.72M, 188.93M, 2110.34M, 406959847, 456667K
1, ADIOS1EndPoint, 512, 00:05:29, 329, 3143.23M, 3792.61M, 55.33M, 110.81M, 89527722, 167401K
1, oscillator, 8192, 00:06:51, 411, 0.61M, 2.71M, 175.76M, 2110.34M, 416005162, 456197K
1, ADIOS1EndPoint, 256, 00:05:33, 333, 5860.74M, 7156.14M, 110.72M, 173.54M, 101716400, 170733K
1, oscillator, 8192, 00:06:46, 406, 0.67M, 2.72M, 168.73M, 2110.34M, 437600925, 491665K
1, ADIOS1EndPoint, 128, 00:05:19, 319, 11290.18M, 12201.43M, 221.42M, 314.31M, 368813976, 394914K
0, oscillator, 8192, 00:07:22, 442, 0.63M, 2.65M, 2059.64M, 2110.59M, 129501927, 140878K
0, ADIOS1EndPoint, 8192, 00:06:07, 367, 2103.96M, 2112.16M, 3.49M, 80.64M, 68603286, 88515K
0, oscillator, 8192, 00:07:06, 426, 0.66M, 2.22M, 1854.75M, 2110.35M, 127184471, 134213K
0, ADIOS1EndPoint, 4096, 00:06:07, 367, 3778.98M, 3793.92M, 6.99M, 110.78M, 91962833, 165802K
0, oscillator, 8192, 00:06:48, 408, 0.63M, 2.28M, 1749.52M, 2110.34M, 127985242, 160078K
0, ADIOS1EndPoint, 2048, 00:05:46, 346, 7130.37M, 7157.46M, 13.96M, 111.30M, 244366771, 337928K
0, oscillator, 8192, 00:07:04, 424, 0.66M, 2.24M, 1735.34M, 2110.59M, 154167921, 162274K
0, ADIOS1EndPoint, 1024, 00:06:01, 361, 13834.35M, 13884.44M, 27.94M, 111.43M, 418987848, 427162K
0, oscillator, 8192, 00:07:24, 444, 0.62M, 2.36M, 1688.52M, 2110.59M, 158426169, 162392K
0, ADIOS1EndPoint, 512, 00:06:19, 379, 27305.57M, 27338.56M, 55.88M, 118.14M, 766915394, 765128K
0, oscillator, 8192, 00:08:54, 534, 0.67M, 2.21M, 1685.56M, 2110.34M, 205751280, 239812K
0, ADIOS1EndPoint, 256, 00:07:52, 472, 54202.37M, 54246.23M, 111.49M, 118.63M, 1473251092, 1443051K
0, oscillator, 8192, 00:13:01, 781, 0.63M, 2.79M, 1683.54M, 2110.59M, 329508815, 333228K
0, ADIOS1EndPoint, 128, 00:11:50, 710, 108061.65M, 108062.68M, 223.24M, 230.75M, 2871461752, 2809468K
